Platform,Year_of_Release,User_Score
PS3,2008,7.6
PS,1999,
GEN,1993,
WiiU,2013,
PS,1999,
PS3,2014,
XB,2004,8.8
PSV,2014,
Wii,2009,tbd
DS,2006,
PS2,2009,tbd
PS,1995,
PSV,2012,7.5
PS3,2013,
PSV,2014,7.3
PS2,2007,
X360,2008,tbd
PC,2011,
Wii,2006,
DS,2004,
PS2,2005,8
SNES,1993,
DS,2010,
PS4,2014,4.1
Wii,2009,
X360,2009,6.4
DS,2008,7.6
X360,2007,6.8
DS,2007,7.5
PS3,2009,4.5
DS,2010,tbd
PS3,2010,tbd
PC,2013,7.4
Wii,2009,8.5
Wii,2007,8.5
PS3,2010,6.5
GBA,2005,
3DS,2011,tbd
PS3,2008,3.1
X360,2012,8
3DS,2013,
PSP,2009,3
PS,1994,
DS,2011,
PS3,2012,
SAT,1995,
GBA,2004,
DS,2009,
GBA,2002,tbd
Wii,2008,5.7
PS3,2009,7.3
PS,1996,
PS2,2000,tbd
PS2,2003,5.6
DS,2007,
Wii,2008,tbd
SNES,1994,
PS2,2003,9.1
GBA,2001,
PS3,2008,6.8
Wii,2010,tbd
PSV,2014,
3DS,2013,
XB,2002,8.2
PC,2011,7.2
PS3,2011,tbd
PS2,2005,8.1
Wii,2011,tbd
PS2,2006,7.3
XB,2002,9
X360,2011,8.2
PS3,2010,5.3
PC,2013,7.4
PS2,2007,
XB,2003,7.5
XOne,2014,7
PSP,2012,
PS3,2011,7
PS2,2002,8.5
PC,2010,4.4
X360,2008,4.2
XB,2006,6.8
Wii,2007,6.3
PS4,2016,7.7
XB,2002,
PC,2011,7.1
DS,2007,tbd
X360,2010,8.3
PS3,2011,6.4
PS2,2003,8.5
PS4,2014,
PS3,2013,7.4
X360,2011,8.4
PS,1997,
DC,2001,8.9
PS3,2011,7.4
Wii,2009,tbd
Wii,2009,tbd
PS2,2004,4.4
PSP,2005,6.4
X360,2011,3.5
Wii,2007,7.5
PS3,2014,
Wii,2009,tbd
DS,2011,tbd
PS2,2004,8.9
GBA,2003,
Wii,2009,8.2
Wii,2014,tbd
PS2,2003,
DS,2013,tbd
XB,2005,7.8
XB,2003,8.6
PS2,2003,8.9
Wii,2010,tbd
PS,2000,
Wii,2010,tbd
XB,2002,8.5
DS,2009,tbd
SAT,1997,
DS,2009,
PS2,2000,tbd
PS3,2011,3.3
PS2,2003,7.8
XB,2005,2.8
PC,2011,7
Wii,2016,tbd
Wii,2011,tbd
GBA,2005,
XOne,2014,8.3
DS,2007,
DS,2006,tbd
PS2,2007,
PS3,2009,tbd
DS,2010,tbd
PS3,2010,
DS,2010,tbd
PS,2000,
GBA,2001,tbd
PSV,2016,
X360,,5.5
WiiU,2012,
GB,1991,
PS2,2003,8.8
DS,2008,7.5
XB,2005,7.8
XB,2001,7.1
X360,2015,7.2
XB,2002,
PS,2001,8.9
DS,2009,tbd
WiiU,2012,
PS3,2014,7.7
DS,2008,tbd
PC,2008,7.5
PS3,2010,5.6
WS,1999,
N64,1999,
Wii,2009,
PS,1997,
PS2,2004,4.3
GBA,2002,tbd
PS2,2008,tbd
3DS,2012,
PS2,2009,6.8
X360,2012,7.1
X360,2012,6.2
X360,2007,6.9
PSP,2005,
PSP,2009,4.7
GC,2002,8.5
SNES,1993,
Wii,2009,5.4
Wii,2008,8.7
PS4,2015,7.8
PS3,2010,tbd
PSV,2012,6.8
GC,2006,
Wii,2010,
PSV,2014,7.4
DS,2010,7
Wii,2009,
GBA,2004,
SAT,1998,
X360,,7.6
Wii,2011,tbd
PS4,2014,6.4
DS,2005,
Wii,2008,4.4
3DS,2013,
WiiU,2016,tbd
DS,2008,7
XB,2001,8.3
DS,2010,
PS3,2011,
Wii,2010,
SNES,1991,
PSP,2011,6.6
PS,1996,
XB,2004,5.9
PSV,2013,6.8
PS2,2004,7.1
PS2,2003,8.6
PS,1997,
DS,2005,7.5
XB,2004,8.3
N64,1999,
N64,1999,
PSV,2015,7.4
DS,2009,
PS3,2014,6.8
SNES,1994,
PSP,2009,7.8
GC,2002,9.1
PS2,2006,
X360,2008,7.5
PC,2009,
XB,2005,5.5
3DS,2013,
GBA,2001,tbd
DC,2000,
PS2,2000,
X360,2010,8.1
XB,2007,7.6
X360,2012,5.1
X360,2010,5.3
X360,2010,7.9
PSP,2007,4.4
Wii,2011,tbd
GC,2005,8.6
Wii,2007,5.7
Wii,2011,tbd
SAT,1994,
Wii,2009,tbd
PSP,2005,
PS,1999,
PC,2013,3.5
GBA,2003,7.5
GBA,2005,
PC,2010,7.7
PS2,2005,8.1
PC,2009,7.8
Wii,2011,8.1
XB,2004,8.3
PS2,2002,6.8
X360,2013,7.5
PC,2011,6
GC,2001,8
3DS,2012,
PS,2000,
X360,2010,tbd
PSP,2013,
PS2,2002,
GC,2001,7.4
PS,1998,
Wii,2011,tbd
PS3,2009,7.2
XOne,2015,
Wii,2008,tbd
PS2,2008,9.2
PS4,2015,8
PS,2000,5.3
PS2,2005,
X360,2010,7.6
PS2,2003,8
PS3,2011,7.3
DS,2010,tbd
PS,,7.6
X360,,8.1
GC,2005,3.2
PS2,2005,8.9
DS,2005,6
PS2,2009,5.8
PS3,2007,7.1
DS,2010,tbd
GBA,2004,
DS,2010,tbd
PS2,2002,9
PSP,2009,
PSP,2008,
XB,2005,9.1
Wii,2009,3
GBA,2003,tbd
Wii,2010,tbd
PS3,2012,6.3
GBA,2002,tbd
X360,2011,5
DS,2006,
DS,2008,
PS3,2011,
PS2,2008,8.3
PS2,2004,7.7
PS2,2001,tbd
GBA,2001,tbd
DS,2008,6
PS,2000,tbd
PS3,2006,7.6
X360,2007,6.9
PS,2001,
PS3,2010,7
GBA,2004,tbd
XB,2008,5.5
X360,2010,7.8
GBA,2005,
PS2,2006,
XB,2003,6.5
PS2,2008,
PS4,2015,7.1
XB,2005,tbd
Wii,2009,5.2
X360,2009,7.1
XB,2002,tbd
PS3,2011,1.7
X360,2011,tbd
PS2,,7.3
PS4,2015,6.1
DS,2008,7.8
PSP,2010,5.6
PC,2014,7.1
PS2,2005,8
PS2,2005,8.3
3DS,2012,
DS,2010,tbd
XOne,2014,7
PS2,2001,4.6
PS4,2015,
PS,2000,
Wii,2011,tbd
PS2,2002,tbd
GBA,,tbd
GBA,2001,tbd
PS2,2002,tbd
GC,2002,6.7
DS,2006,7.9
PS2,2001,4.5
PS3,2008,4.4
DS,2009,tbd
GC,2006,tbd
PSV,2011,3.7
PS3,2011,
PS,1995,
PS3,2009,4
GBA,2004,tbd
PS2,2005,
GC,2006,tbd
Wii,2008,tbd
DS,2009,
PS2,2002,7.4
DS,2010,
X360,2009,7
GC,2006,
XB,2003,8.2
PS,1998,
PS,1996,
DS,2007,tbd
DS,2007,
PS2,2004,9.1
PC,2011,4.7
GC,2003,7.3
PS4,2015,
DS,2010,
DS,2008,7.8
Wii,2008,tbd
GC,2005,8.8
XB,2003,8.7
PSP,2012,
PS4,2015,7.6
Wii,,8.8
PC,2012,8.2
PS2,2009,tbd
GBA,2001,tbd
Wii,2008,tbd
PS2,2001,8.3
XB,2003,
X360,2008,6.7
DS,2011,tbd
GC,2005,7.9
PS3,,7
PS,2001,8.5
GB,1999,
SAT,1998,
DS,2010,
X360,2016,0.7
DS,2010,tbd
PS,1999,
DS,2007,tbd
PS,1999,
PS3,2009,5.3
XB,2004,7.9
X360,2006,6.1
XB,2003,6.3
DS,2010,
PSP,2008,tbd
DS,2010,tbd
X360,2013,7.2
PS2,2005,tbd
PS2,2003,8.7
Wii,2011,tbd
GBA,2005,
PS4,2016,
PS2,2008,
PS2,2000,5.9
PC,2012,4.9
PS2,2009,tbd
PS,1997,
DS,2009,
PS3,2011,6.1
PS,1996,
PS2,2003,7.9
PS2,2003,
PS2,2007,
WS,2000,
GC,2003,5
PS3,2010,tbd
PS3,2008,5.6
GBA,2005,tbd
3DS,2013,
PS3,2009,
PSP,2009,
X360,2006,6.8
XB,2003,8.6
PC,2009,8.5
X360,2011,6.4
DC,1999,
PS,1998,
PSV,2014,8.7
XB,2004,7.3
PC,2011,
PS3,2011,6.1
PSP,2008,7.4
GBA,2005,6.9
Wii,2007,7.4
PS,1999,
GBA,2004,
X360,2012,5.2
Wii,2008,6.6
PS2,,6.5
PSP,2004,
N64,2000,
N64,1999,
N64,1999,
PS3,2010,6
XB,2003,9.2
3DS,2015,
GBA,2004,
GBA,2004,
PS2,2009,5.4
PSP,2010,
X360,2007,5.8
Wii,2008,tbd
PS2,2008,
PSP,2013,
PS2,2007,
GBA,2004,tbd
X360,2008,
PSV,2013,7.6
XOne,2016,7.2
PS,1995,
Wii,2008,7.7
PS2,2006,
Wii,2011,
PS3,2008,3.8
PC,2005,8.8
3DS,2011,
GBA,2004,
PSV,2015,8.8
PS2,2001,9.1
PS3,2008,6.1
PS,2000,
X360,2010,5.7
Wii,2008,tbd
X360,2010,
PS2,2004,6.9
PS2,2007,tbd
GBA,2004,
SNES,1996,
X360,2009,6.6
PS2,2005,8.1
PS,2000,1.2
PS2,2004,8
PS,1996,
PS2,,
X360,2012,7.9
GC,2005,7.5
PS4,2015,6.5
X360,2009,6.2
PC,2013,8.1
X360,2007,
PS3,2009,
GBA,2003,8.3
PS2,2007,
GC,2002,5.6
PS,1998,
PS2,2004,6
XB,2002,7.3
DS,2010,
PS,2001,
Wii,2010,tbd
PS,1996,
XB,2003,6.3
PS,1995,
3DS,2014,
PS2,2002,8.3
PS2,2008,
X360,2007,5.2
PSV,2013,7.4
PS,1998,5.7
PS,2000,4.3
DS,2007,tbd
Wii,2009,
X360,2010,4.8
GC,2003,7.6
DS,2006,
PS2,2008,
PS3,2009,6
X360,2014,2.9
PS,1996,
DS,2006,
PS2,2000,7.6
X360,2009,7
Wii,2007,tbd
PS3,2009,
XB,2003,5
XB,2002,8.9
PS2,2003,
PS3,2012,5
GC,2002,8
Wii,2010,tbd
PSP,2007,7.6
PS3,2010,tbd
GBA,2002,
PS3,2011,5
PS3,2012,6
GBA,2002,6
SNES,1996,
PSP,2006,6.6
Wii,2009,
DS,2007,7.9
PSV,2015,7.3
3DS,2014,
DS,2010,tbd
DS,2010,tbd
DS,2006,tbd
X360,2014,5.1
SNES,1993,
PS3,2010,tbd
PS3,2011,6.7
SNES,1996,
XB,2006,7.2
DS,2009,tbd
X360,2010,4.2
X360,2015,3.8
PS3,2008,tbd
PS2,2004,7
PSP,2011,6
Wii,2007,8
DS,2009,
GC,2003,8.2
XB,2004,6.4
GBA,2005,
DS,2005,tbd
Wii,2010,tbd
PS2,2008,tbd
PSV,2015,6.3
PS3,2014,
SAT,1997,
DS,2007,
SNES,1997,
DS,2011,tbd
GC,2002,8.5
3DS,2015,8.2
XB,2004,8.2
PS3,2009,tbd
2600,1983,
2600,1982,
2600,1981,
SAT,1995,
DS,2009,tbd
X360,2009,5.1
PS2,2002,8.7
PC,2016,4.8
PC,2005,8.3
DS,2004,7.5
PSV,2013,
PS2,2001,
Wii,2010,tbd
PSP,2005,7.8
PS2,2002,
PS2,2001,4.9
DS,2008,tbd
Wii,2008,
GBA,2002,
Wii,2011,6.2
PS,2000,7.5
PS2,2004,9
DS,2007,7.3
PS2,2003,8.5
PS3,2014,8.2
PS2,2000,tbd
X360,2009,2.5
DS,2009,
GC,2002,8.4
PS2,2002,
PS,2000,
X360,2010,4.1
PSP,2013,
GBA,2006,
PS2,2003,8.9
XOne,2016,4.4
GBA,2006,tbd
PC,2011,3
PS2,2003,tbd
3DS,2011,6.8
PS2,2006,
PSP,2006,6.6
GBA,2003,
Wii,2008,5.8
PS3,,7.7
PSP,2010,
3DS,2011,6.1
PS,1995,
GBA,2005,
PS,2000,
DS,2006,tbd
GC,2004,tbd
GC,2003,7
DS,2007,
Wii,2007,7.8
PS,1998,
Wii,2008,5.9
XB,2003,
PS,1998,
PS2,2007,tbd
X360,2010,6.4
DS,2011,8.2
3DS,2015,6.8
PS3,2012,3.7
SNES,1992,
3DS,2011,
GC,2005,7.3
X360,2011,7
PS3,2008,7.4
DS,2005,7.7
XB,2005,8.9
PSP,2009,
Wii,2008,tbd
Wii,2010,tbd
PS2,2005,tbd
Wii,2008,3.5
PS2,2002,
X360,2007,2.8
DS,2005,
PS2,2005,
PS2,2003,9.2
XOne,2014,7
PS2,2002,7.6
PSP,2011,
XB,2003,8.8
X360,2011,8.1
PS2,2003,9
GC,2005,6.6
PS3,2007,5.2
Wii,2007,6.3
SNES,1997,
PS,,8.1
PS3,2007,7.2
PS3,2008,5.8
GC,2006,tbd
Wii,2007,7.1
PS2,2005,
PS3,2012,7.8
PS2,2006,
PS2,2002,tbd
GBA,2002,tbd
Wii,2009,7.3
PS2,2008,tbd
SNES,1995,
Wii,2011,tbd
PS2,2003,
GC,2005,tbd
PS3,2011,
PS3,2009,5.3
DS,2008,tbd
PS3,2016,tbd
PSP,2006,8.1
DS,2011,tbd
SNES,1991,
DS,2006,tbd
PSP,2011,
X360,2011,tbd
X360,2006,8.7
GBA,2001,tbd
PS,1997,
X360,2006,
N64,2000,
N64,2000,
N64,1999,
N64,1999,
N64,2000,
N64,1998,
N64,1999,
N64,1996,
N64,1999,
N64,2001,
N64,1998,
N64,2001,
PC,2014,6.4
Wii,2009,tbd
PS3,2010,5.2
DS,2006,
PSP,2008,
PS2,2003,
DS,2006,7.6
PS3,2007,6.3
PS2,2006,
XB,2004,tbd
DS,2005,5.7
X360,2012,tbd
PC,2012,7.5
DS,2009,tbd
Wii,2010,tbd
PS4,2014,
Wii,2010,
PSP,2006,3.1
XOne,2013,6.9
PS2,2004,
X360,2006,6.5
SNES,1992,
PS4,2016,
PC,2011,7.1
DS,2009,
DS,2008,tbd
Wii,2010,tbd
PS2,2006,7.5
PSP,2006,7.8
PSP,2010,
PS,1995,
PS,2000,tbd
PS3,2009,7
PS,2000,
SAT,1998,
Wii,2008,
GBA,2001,tbd
XOne,2016,8.3
PS3,2009,
DS,2010,tbd
SNES,1994,
GBA,2003,8.5
PS,1999,
Wii,,tbd
GBA,2001,tbd
Wii,2008,8.6
PC,2011,7.7
PS4,2013,2.9
PSP,2009,
DS,2008,tbd
XOne,2014,
PSP,2006,7.8
DS,2007,
DS,2010,
X360,2009,
DS,2006,8.3
PS3,2014,7.8
GBA,2005,
DS,2007,tbd
PS,1998,
PS,1996,
X360,2014,
X360,2010,5.3
DS,2010,tbd
PS,1996,
PS2,2004,4.8
PS,1995,
PSP,2008,
PC,2014,7.4
Wii,2009,tbd
GC,2003,7.8
DS,2010,tbd
PSP,2008,
3DS,2012,
X360,2005,7.1
GBA,2001,
PSP,2006,7.8
XB,2005,
PS,1996,
DS,2007,
GC,2002,tbd
3DS,2014,
XB,2004,6.2
PS2,2007,8.1
PSP,2010,
PS2,2003,6.8
DS,2008,7.8
Wii,2009,5.9
PSP,2011,
Wii,2008,8
Wii,2010,
X360,,3.6
3DS,2012,
PSV,2013,
PS,1996,
PS3,2011,
DS,2006,tbd
PS3,2013,6.8
Wii,2007,7.2
PS2,2008,tbd
3DS,2011,
DS,2008,tbd
GBA,2002,tbd
X360,2009,6.8
PC,2010,5.5
DS,2007,
PS,2000,tbd
PS,1996,
DS,2009,tbd
GBA,2002,tbd
X360,2010,7.3
X360,2009,5
PS,1999,
PS,1996,
PS,1997,
GBA,2003,tbd
PS,1998,
DS,2009,
PS2,2001,3.4
3DS,2011,6.6
PS2,2003,8.3
PS3,2007,7.3
DS,2010,8
PS2,2001,8.5
PS3,2012,7.3
DS,2005,7.7
PS3,2013,
X360,2010,
GC,2003,8.5
PS2,2001,3.9
PSP,2010,tbd
PS3,2011,tbd
PS2,2004,7.7
XB,2004,
PC,2011,5.9
DS,2007,6.7
DS,2010,
GC,2005,9.3
XOne,2014,7.5
DS,2007,
GC,2002,6.5
PSP,2006,7
GC,2003,7.5
GC,2001,7.8
PS2,2005,6.9
X360,2009,6.8
DS,2010,tbd
Wii,2011,tbd
DS,2007,
PS,1999,
2600,1982,
2600,,
2600,1989,
SAT,1996,
Wii,2007,8.5
XOne,2015,8
PSP,2006,
Wii,2010,
3DS,2012,5.4
XB,2004,5.9
3DS,2011,5.7
X360,2013,7.5
Wii,2007,
XB,2005,7.5
GBA,2005,
XB,2002,5.2
PSP,2005,8.3
DS,2010,
X360,2012,8.9
X360,2009,5.8
GC,2005,
3DS,2015,
PS,1998,
PS3,2007,6.5
PC,2012,7.8
PS2,2005,7.6
PC,2011,6.9
PS2,2000,tbd
PSV,2014,
PS2,2004,6.3
WiiU,2012,8.2
Wii,2010,tbd
GC,2004,6.7
PSP,2011,
PS2,2009,
Wii,2008,2.8
Wii,2009,tbd
SAT,1997,
PS3,2008,7.5
Wii,2009,tbd
X360,2006,8.6
DS,2009,tbd
GC,2003,tbd
PS3,2009,7.1
Wii,2010,tbd
PS2,2009,tbd
PSP,2010,6.2
PS2,2008,8.5
DS,2010,tbd
GBA,2005,
DS,2007,7.7
PS3,2013,8.7
DS,2009,6.7
Wii,2012,
X360,2011,7.5
PS,2000,6.9
PSV,2014,
DS,2010,tbd
Wii,2007,6.8
PS3,2008,5.1
PSP,2012,
PSP,2005,7.5
SAT,1997,
PSP,2009,6.2
X360,2010,6.3
SNES,1996,
DS,2007,7.9
DS,2009,tbd
GBA,2003,8.8
GC,2003,8.1
DS,2006,tbd
DS,2010,6.3
XB,2003,8.6
PSV,2015,
XB,2002,8.2
DS,2005,7
PS,1997,
GC,2005,8.5
GC,2006,7.2
PS,2001,6.4
XB,2004,6.4
PS3,2015,
PSP,2007,
XB,2004,6.1
PS2,2005,7.8
X360,2005,6
SNES,1991,
PS2,2001,tbd
X360,2007,tbd
DS,2009,tbd
Wii,2011,tbd
PS2,2008,tbd
PS2,2005,8.9
DS,2010,tbd
PSV,2014,2.5
Wii,2011,
PSV,2014,8
GBA,2004,
3DS,2013,
PS2,2001,8.3
PC,2010,7.8
SAT,1995,
GC,2002,7.1
DS,2009,
GBA,2005,
PS3,2015,
PS2,2008,7.6
PS2,2008,
PS3,2007,6.2
N64,1997,
N64,2001,
N64,2000,
N64,1997,
GC,2002,8
Wii,2009,tbd
Wii,2008,
PS,1998,
XB,2002,7.3
XB,2003,tbd
DS,2011,
X360,2009,tbd
PS3,2010,4.2
DS,2008,7.6
SNES,1995,
Wii,2011,8
DS,2009,tbd
XB,2004,8.5
XB,2006,6.2
PS3,2009,
PS2,2001,6.4
GC,2006,6.3
PC,2011,
PS4,2014,
DS,2005,tbd
PS,1998,
GBA,2002,tbd
Wii,2012,tbd
XB,2004,
PS,1999,
3DS,2013,
PS2,2005,6.8
XOne,2015,
GC,2006,
GBA,2004,
XOne,2016,7.2
PS2,,8.6
GC,2005,8.5
PS4,2016,8.7
PS,1998,
PSV,2016,7
DS,2005,tbd
PS3,2010,
GBA,2002,7.8
SAT,1997,
GEN,1993,
PC,2012,8.2
PS3,2011,8
PS2,2006,
DS,2004,6.7
PS3,2010,8.1
PS4,2016,8.1
DS,2008,tbd
PS,2000,
DS,2005,2.5
DS,2006,
DC,2001,9.4
X360,2008,7.7
3DS,2015,
PS2,2008,6.5
XB,2005,tbd
PS2,2003,5
GC,2005,9.1
Wii,2008,tbd
GC,2005,8.1
PS3,2007,7.2
PSP,2011,
XB,2005,tbd
PSP,2008,tbd
XB,2003,
XB,,8.8
PS3,2014,7.8
Wii,2008,
Wii,2010,tbd
GC,2005,7.2
PS4,2014,
Wii,2008,tbd
PS,2001,8.7
PS,2000,7
PS,1997,
PS,1999,
PSP,2010,8.3
XB,2004,8.7
Wii,2011,tbd
DS,2009,tbd
PS2,2000,
3DS,2013,
DS,2005,
DS,2009,tbd
DS,2009,
XB,2006,8.5
GBA,2004,
GBA,2003,7.2
Wii,2015,
PS,1996,
WiiU,2016,8
DS,2011,tbd
DS,2008,6
Wii,2009,
XB,2005,8.2
PS,1999,
DS,2008,
Wii,2009,tbd
X360,2011,4.4
Wii,2009,tbd
DS,2010,tbd
DS,2011,
X360,2013,8.1
X360,2009,7.9
PSP,2011,
Wii,2011,tbd
PS,1997,
GBA,2005,
GC,2003,5.4
3DS,2011,5.4
PS,2001,
PSP,2004,7.9
Wii,2012,6
XB,2001,7.7
X360,2010,tbd
3DS,2012,6.3
PSP,2013,8.3
PS2,2001,
PSP,2011,7.2
PS2,2002,4.6
SAT,1995,
GBA,2005,
GBA,2003,9.6
Wii,2010,
XB,2004,7.6
PS,1995,
XOne,2016,6.6
PS3,2007,5.4
PC,2012,6.9
GBA,2004,tbd
GC,2002,7.5
DS,2004,7.4
DS,2007,
Wii,2007,tbd
XB,2003,7.3
X360,2007,7.8
PS2,2005,8.2
DS,2007,6.1
PC,2011,8.5
3DS,2014,
PS2,2007,tbd
PS2,2002,tbd
GBA,2002,
XB,2005,3
Wii,2008,tbd
PS3,2010,7.2
DS,2006,tbd
GEN,1994,
PS,2001,tbd
3DS,2012,5
Wii,2007,8
PS,1997,
PS2,2007,3
PS2,2009,tbd
GB,2000,
SCD,1994,
PS2,2001,8.9
GBA,2003,7.8
PS,1998,
PS4,2015,7.7
DS,2009,
PS2,2005,7.3
GC,2007,5.6
PS2,2009,2.3
PS2,2001,3.5
DS,2008,
PS3,2011,
PS,1997,
GBA,2001,
DS,2009,tbd
DS,2007,7.9
3DS,2015,
PS3,2012,6.5
X360,2010,tbd
X360,2011,tbd
3DS,2011,7.7
PS,1996,
PSP,2006,7.5
DS,2009,tbd
PSP,2008,7.1
PS2,2004,8
DS,2007,tbd
PC,2014,8.4
PSP,2009,tbd
PC,2015,5.3
PS2,2006,tbd
PS2,2004,7.9
X360,2011,5.7
PS,2001,tbd
PSP,2011,
PS3,,8.2
GC,2002,
GB,2001,
GBA,2005,
PS2,2003,
PS,2002,
PS,1997,
PSP,2006,
GC,2004,8.5
PSP,2009,7.9
DS,2009,tbd
PSP,2009,7.3
DC,1998,
PS2,2001,5.7
PSP,2011,
3DS,2012,
PS2,2004,8.6
DS,2009,tbd
PSP,2010,
PS3,2014,
PSP,2010,
XB,2003,2
XB,2005,8.1
XB,2002,8.4
Wii,2007,5.4
PS3,2013,2.9
PSP,2004,6.9
GBA,2001,8.5
DS,2010,
PS,2001,
DS,2009,
PS2,2001,6.6
XB,2004,
PS3,2012,
DC,2000,
DS,2008,tbd
PS3,2008,7.1
XB,2006,9.1
PS,1998,
PSP,2009,7
DS,2010,tbd
PS2,2008,tbd
PS,1997,
X360,2014,5.7
PSP,2005,6.8
GBA,2004,
Wii,2010,tbd
XB,2002,7.8
PSP,2006,5.2
PS2,2002,7.9
PS2,2001,7.3
PS3,2011,4.4
2600,1982,
PSV,2013,
GB,2000,
GBA,2002,
PS4,2016,5.5
Wii,2010,
PS2,2006,8
XB,2003,
DS,2006,
PSP,2008,tbd
DS,2007,3.1
GC,2002,8.7
Wii,2007,8.4
Wii,2011,7.4
GC,2003,8.8
Wii,2013,tbd
DS,2009,tbd
DS,2008,tbd
PS2,2009,6.6
Wii,2007,5.4
PS,1998,
Wii,2010,tbd
PS4,2016,8
DS,2005,
Wii,,
XOne,2014,7.3
PS,1998,
PS,2000,7.3
X360,2012,6
PS2,2002,8.3
PSP,2011,
DS,2007,tbd
PS,1997,
PS2,2008,tbd
PS,1997,
3DS,2011,tbd
PC,2009,7.5
PS3,2016,4.1
XB,2004,9.1
DS,2007,
PC,2015,8.9
DS,2010,tbd
PS2,2008,8.2
PS2,2005,tbd
PS2,2004,8.7
Wii,2006,8
PSP,2011,
PC,2007,9.3
3DS,2015,8.2
X360,2014,6.8
PS,2001,tbd
PS,1997,
PS3,2010,0.5
DS,2004,8.9
N64,1998,
N64,1999,
N64,,
N64,1999,
GC,2002,7.7
PSP,2007,
PS,1999,
XOne,2014,
Wii,2008,7.6
PS2,2008,
PC,2003,9
PS2,2002,8
Wii,2008,
PS,1995,
GC,2006,tbd
DS,2010,tbd
DC,2000,
Wii,2009,tbd
3DS,2015,
X360,2006,5
PS,1997,
PS2,2002,8.5
DS,2010,
PS,1997,
DS,2010,
PSP,2011,
X360,2006,7.2
Wii,2007,5.3
X360,2009,5.4
PSV,2016,7.9
XOne,2016,4.1
GBA,2002,
XB,2004,8.2
PS2,2002,tbd
PS3,2010,6.2
PS,1999,
GBA,2003,
SAT,1997,
DS,2006,6.9
PS3,2014,
Wii,2011,7.5
GBA,2005,5.5
PS,1996,
DS,2005,
XB,2002,8.4
XB,2005,
PSP,2007,6.6
PS,1996,
PS4,2016,5.9
PSV,2014,8.4
XB,2003,4.1
GC,2002,tbd
NG,1993,
Wii,2008,tbd
PS3,2007,5.2
PC,2009,8.1
PS,2001,
XB,2005,tbd
XOne,2015,7.9
PC,2012,7.6
PC,2000,8
PS,1995,
Wii,2007,
X360,2006,5.7
PS3,2012,8
PS,1996,7.4
GBA,2002,tbd
Wii,2009,
GC,2002,
X360,,8.4
PS2,2001,
PS,1999,
X360,2011,
SNES,1998,
TG16,1995,
PS4,2016,6.4
PC,2010,
Wii,2010,tbd
DS,2006,tbd
X360,2007,7.8
X360,2006,
GC,2002,7.2
GC,2005,
XOne,2015,
X360,2010,7.6
3DS,2012,
GC,2002,tbd
PS2,2006,
PC,2015,3.8
PS,1995,
DS,2011,
GBA,2002,8.5
PS4,2015,8.6
DS,2008,tbd
PS,1995,
SAT,1995,
XB,2002,
PS2,2006,
PC,2010,6.3
DS,2007,
PSP,2004,
GBA,2004,3
PSP,2007,tbd
DS,2005,6.7
PS,1998,
DS,2009,
PSP,2006,tbd
PS3,2014,7.1
Wii,2008,tbd
GBA,2002,
PS3,2014,
X360,2009,8.1
DS,2007,tbd
X360,2010,5.8
PS2,2006,
PS2,2004,6.4
Wii,2006,6.7
GBA,2003,6.2
Wii,2008,
X360,2010,
XB,2003,9.1
PS2,2001,7.5
PS3,2008,6.5
Wii,2011,tbd
X360,2011,4.7
DS,2008,tbd
PS,1997,
PSV,2011,
XB,2003,9.1
DS,2010,
PS3,2014,8.1
GBA,2002,8.8
PS2,2001,8
Wii,2009,6.7
PS,1998,
PS3,2011,tbd
X360,2009,
PSP,2005,2.8
3DS,2011,7.8
PS,2001,
PS,1996,
DS,2009,tbd
DS,2008,7.4
PC,2016,3
GBA,,tbd
X360,2006,7.7
GC,2004,tbd
DS,2009,7.5
DS,2011,tbd
DS,2008,tbd
DS,2009,tbd
PS2,2002,3.5
XB,2004,
XB,2003,8.5
XB,2002,5.8
PSP,2011,
PSP,2012,
DS,2006,8.1
PC,2011,7.3
XB,2003,tbd
DS,2006,tbd
X360,2007,
DS,2012,tbd
PS,2001,tbd
DS,2010,tbd
PS2,2003,
WiiU,2012,6.3
DS,2007,tbd
GBA,2003,8.1
DS,2010,tbd
PS3,2010,
DS,2008,tbd
3DS,2012,
PS,1998,
DS,2009,tbd
PS,2001,7
PS2,2008,
X360,2010,
DS,2010,
GBA,2002,tbd
Wii,2006,tbd
PS2,2004,8
PSP,2006,6.9
PS2,2005,
PS2,2004,6.7
PS2,2006,
XB,2002,4
PS3,2009,2.8
PSP,2012,
GBA,2002,7.8
X360,2011,7.6
PS2,2005,
DS,2009,tbd
Wii,2008,7.1
Wii,2009,tbd
PS2,2009,
GBA,2005,tbd
DS,2010,
DS,2010,tbd
PS,1995,
DS,2008,tbd
PSV,2016,
PS2,2005,
X360,2011,2.2
XB,2004,tbd
Wii,2008,
DS,2005,3.7
3DS,2011,tbd
DS,2005,7
PSP,2008,tbd
PS2,2005,8.8
PS3,2016,
PC,2010,
PS,1997,
X360,2010,7.8
PS2,2007,tbd
Wii,2011,
X360,2007,7.4
PSV,2015,
Wii,2010,tbd
DS,2008,tbd
DS,2008,tbd
PS,2000,
DS,2009,6.3
PSV,2013,
XOne,2016,8.7
DS,2011,
PS2,2008,6.7
PS2,2008,8.7
XB,2003,tbd
PS,2001,tbd
XB,,tbd
X360,2008,
PS2,2011,6.2
PS,1998,
PS3,2009,5.9
